L60-B-PERSON-UPPGIFT-SEMA-SMB ;SAMBAND;Personuppgifter
L60-B-UTBET-BG-SMB ;SAMBAND;Utbetalningar
L60-B-UTBET-NB-SMB ;SAMBAND;Utbetalningar
L60-B-UTBET-PG-SMB ;SAMBAND;Utbetalningar
L66-B-AUTOGIRO-BGC-SMB ;SAMBAND;Batch: Autogiroavdrag
L66-B-FS-SUS-SMB ;SAMBAND;Föreningssparbanken - utbetalningar
L66-B-RSV-SMB ;SAMBAND;Batch: Kontrolluppgifter
L73-B-L87-SMB ;SAMBAND;
L73-B-M11-SMB ;SAMBAND;
L73-B-P05-SMB ;SAMBAND;
L73-B-P25-SMB ;SAMBAND;
L73-B-R61-SMB ;SAMBAND;ALLA GENERELLA PGM
L80-B-C10-SMB ;SAMBAND;Läses i batch
L80-B-L89-SMB ;SAMBAND;
L81-B-KIS-TRANS-L82-SMB ;SAMBAND;BATCH: L81 skickar KIS-transar som L82 tar hand om och vidarebefordrar till KIS
L81-B-L25-SMB ;SAMBAND;
L81-B-L33-SMB ;SAMBAND;Subbar
L81-B-L73-SMB ;SAMBAND;
L81-B-L80-SMB ;SAMBAND;Subbar
L81-B-L82-SMB ;SAMBAND;Subbar
L81-B-L87-SMB ;SAMBAND;Subbar
L81-B-L88-SMB ;SAMBAND;Subbar
L81-B-L89-SMB ;SAMBAND;Subbar
L81-B-R61-SMB ;SAMBAND;Anropar generella moduler batch
L81-B-Y05-SMB ;SAMBAND;Läser och uppdaterar batch
L81-O-AVTAL-L88-SMB ;SAMBAND;ONLINE: Nyupplägg / ändring av avtal
L81-O-D92-SMB ;SAMBAND;Läser och uppdaterar online
L81-O-KOLL-ANNUL-L88-SMB ;SAMBAND;ONLINE: VÄRDEKONTROLL VID ANNULLATION
L82-B-AVISER-TRANS-BG-SMB ;SAMBAND;BATCH: L82 skickar fil med aviseringstransar till BGC.
L82-B-AVISER-TRANS-SIS-SMB ;SAMBAND;BATCH: L82 skickar fil med aviseringstransaktioner till SIS.
L82-B-BETAL-UPPDRAG-D91-SMB ;SAMBAND;Betalningsuppdrag
L82-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;BATCH: L82 skapar bokföringstransaktioner vid inbetalning och avisering till R/3
L82-B-CREG-L33-SMB ;SAMBAND;BATCH: L33 LÄSER FIL MED NEDLÄST CREG SOM L82 SKAPAR (?)
L82-B-CREG-L50-SMB ;SAMBAND;BATCH: L50 läser fil med nedläst CREG somm L82 skapat
L82-B-CREG-O36-SMB ;SAMBAND;BATCH: O36 läser fil med nedläst CREG som L82 skapar
